Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,83,1,1985-10-25,CHI,,CLE,W 116-115 (OT),*,39:00,13,26,.500,0,0,,13,26,.500,.500,3,4,.750,3,3,6,3,3,0,3,5,29,18.7
2,84,2,1985-10-26,CHI,,DET,W 121-118,*,41:00,9,24,.375,0,0,,9,24,.375,.375,15,16,.938,2,5,7,6,2,3,6,5,33,22.6
3,85,3,1985-10-29,CHI,@,GSW,W 111-105,*,18:00,6,10,.600,0,0,,6,10,.600,.600,0,0,,0,2,2,2,0,0,1,1,12,8.0
4,86,68,1986-03-15,CHI,,MIL,L 116-125 (OT),,13:00,4,7,.571,0,0,,4,7,.571,.571,4,7,.571,0,1,1,2,1,0,1,2,12,8.4
5,87,69,1986-03-17,CHI,@,ATL,L 96-106,,14:00,4,16,.250,0,1,.000,4,15,.267,.250,9,10,.900,3,1,4,1,7,1,1,0,17,16.8
6,88,70,1986-03-19,CHI,@,PHI,L 112-118,,15:00,4,14,.286,0,2,.000,4,12,.333,.286,4,6,.667,4,0,4,3,2,2,1,1,12,9.9
7,89,71,1986-03-21,CHI,@,BOS,L 105-126,,16:00,7,16,.438,0,1,.000,7,15,.467,.438,6,7,.857,2,0,2,1,0,1,1,3,20,11.8
8,90,72,1986-03-22,CHI,@,CLE,L 97-123,,16:00,4,13,.308,0,0,,4,13,.308,.308,0,1,.000,1,0,1,1,0,0,1,2,8,-0.3
9,91,73,1986-03-25,CHI,,NYK,W 111-98,,19:00,5,12,.417,0,1,.000,5,11,.455,.417,9,9,1.000,1,2,3,3,1,0,2,3,19,13.8
10,92,74,1986-03-28,CHI,@,NJN,L 107-118,,22:00,9,15,.600,0,0,,9,15,.600,.600,4,6,.667,0,1,1,3,5,0,3,4,22,17.1
11,93,75,1986-03-29,CHI,@,NYK,W 106-96,,23:00,10,17,.588,0,1,.000,10,16,.625,.588,4,6,.667,1,0,1,1,1,3,4,2,24,15.0
12,94,76,1986-04-01,CHI,@,MIL,L 107-116,,26:00,8,16,.500,0,1,.000,8,15,.533,.500,12,12,1.000,1,4,5,2,1,3,1,2,28,24.6
13,95,77,1986-04-03,CHI,@,IND,W 109-108,,28:00,12,19,.632,0,0,,12,19,.632,.632,2,4,.500,1,4,5,3,3,2,3,1,26,21.7
14,96,78,1986-04-05,CHI,,ATL,W 102-97,,31:00,10,21,.476,2,3,.667,8,18,.444,.524,8,9,.889,1,2,3,3,1,1,4,1,30,19.6
15,97,79,1986-04-07,CHI,,MIL,W 107-101,*,31:00,10,18,.556,1,3,.333,9,15,.600,.583,5,5,1.000,1,4,5,7,1,3,2,3,26,24.1
16,98,80,1986-04-08,CHI,@,ATL,L 118-131,*,33:00,12,25,.480,0,2,.000,12,23,.522,.480,6,6,1.000,1,5,6,6,2,1,7,2,30,18.6
17,99,81,1986-04-11,CHI,,WSB,W 105-103,*,37:00,12,36,.333,0,1,.000,12,35,.343,.333,7,10,.700,1,4,5,2,3,1,2,5,31,12.4
18,100,82,1986-04-13,CHI,@,CLE,L 97-104,*,29:00,11,23,.478,0,2,.000,11,21,.524,.478,7,7,1.000,0,3,3,4,4,0,2,4,29,21.4
,,,,,,,9-9,7,451,150,328,.457,3,18,.167,147,310,.474,.462,105,125,.840,23,41,64,53,37,21,45,46,408,15.8
