Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,71,1,1992-04-24,CHI,,MIA,W 113-94,*,41:00,21,34,.618,0,0,,21,34,.618,.618,4,4,1.000,1,10,11,9,3,1,5,4,46,37.7
2,72,2,1992-04-26,CHI,,MIA,W 120-90,*,35:00,12,23,.522,0,0,,12,23,.522,.522,9,10,.900,4,9,13,6,2,0,4,3,33,27.8
3,73,3,1992-04-29,CHI,@,MIA,W 119-114,*,43:00,20,30,.667,0,0,,20,30,.667,.667,16,18,.889,1,4,5,5,4,2,2,3,56,49.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,74,4,1992-05-05,CHI,,NYK,L 89-94,*,44:00,12,23,.522,0,0,,12,23,.522,.522,7,8,.875,1,5,6,3,1,3,2,4,31,23.1
5,75,5,1992-05-07,CHI,,NYK,W 86-78,*,43:00,12,24,.500,0,0,,12,24,.500,.500,3,8,.375,1,5,6,5,3,0,2,2,27,18.9
6,76,6,1992-05-09,CHI,@,NYK,W 94-86,*,44:00,12,24,.500,1,3,.333,11,21,.524,.521,7,10,.700,1,8,9,3,3,1,6,2,32,20.9
7,77,7,1992-05-10,CHI,@,NYK,L 86-93,*,44:00,12,26,.462,0,2,.000,12,24,.500,.462,5,6,.833,2,2,4,4,0,0,0,1,29,19.6
8,78,8,1992-05-12,CHI,,NYK,W 96-88,*,40:00,11,23,.478,0,0,,11,23,.478,.478,15,17,.882,2,3,5,3,1,0,4,3,37,24.7
9,79,9,1992-05-14,CHI,@,NYK,L 86-100,*,45:00,9,25,.360,1,5,.200,8,20,.400,.380,2,4,.500,0,4,4,8,0,1,7,0,21,6.8
10,80,10,1992-05-17,CHI,,NYK,W 110-81,*,42:00,15,29,.517,0,0,,15,29,.517,.517,12,13,.923,3,3,6,4,2,3,5,3,42,31.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,81,11,1992-05-19,CHI,,CLE,W 103-89,*,40:00,15,29,.517,1,2,.500,14,27,.519,.534,2,2,1.000,1,5,6,7,2,1,1,0,33,27.5
12,82,12,1992-05-21,CHI,,CLE,L 81-107,*,35:00,7,22,.318,0,0,,7,22,.318,.318,6,7,.857,8,3,11,3,3,2,6,3,20,12.8
13,83,13,1992-05-23,CHI,@,CLE,W 105-96,*,43:00,13,27,.481,1,1,1.000,12,26,.462,.500,9,10,.900,3,3,6,9,1,0,5,3,36,26.0
14,84,14,1992-05-25,CHI,@,CLE,L 85-99,*,44:00,15,33,.455,1,3,.333,14,30,.467,.470,4,5,.800,2,3,5,6,3,0,5,3,35,20.8
15,85,15,1992-05-27,CHI,,CLE,W 112-89,*,39:00,13,28,.464,0,0,,13,28,.464,.464,11,12,.917,0,3,3,5,4,0,0,4,37,29.0
16,86,16,1992-05-29,CHI,@,CLE,W 99-94,*,44:00,10,27,.370,0,0,,10,27,.370,.370,9,9,1.000,1,7,8,8,2,0,3,3,29,20.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,87,17,1992-06-03,CHI,,POR,W 122-89,*,34:00,16,27,.593,6,10,.600,10,17,.588,.704,1,1,1.000,2,1,3,11,2,0,1,0,39,36.9
18,88,18,1992-06-05,CHI,,POR,L 104-115 (OT),*,50:00,16,32,.500,0,4,.000,16,28,.571,.500,7,9,.778,1,4,5,10,1,0,5,5,39,25.1
19,89,19,1992-06-07,CHI,@,POR,W 94-84,*,41:00,11,22,.500,0,1,.000,11,21,.524,.500,4,4,1.000,2,5,7,4,3,0,5,4,26,17.1
20,90,20,1992-06-10,CHI,@,POR,L 88-93,*,44:00,11,26,.423,2,6,.333,9,20,.450,.462,8,8,1.000,0,5,5,6,0,0,5,4,32,17.3
21,91,21,1992-06-12,CHI,@,POR,W 119-106,*,42:00,14,23,.609,2,4,.500,12,19,.632,.652,16,19,.842,0,5,5,4,0,1,4,5,46,33.3
22,92,22,1992-06-14,CHI,,POR,W 97-93,*,43:00,13,24,.542,2,3,.667,11,21,.524,.583,5,5,1.000,1,3,4,4,4,1,4,3,33,25.3
,,,,,,,15-7,22,920,290,581,.499,17,44,.386,273,537,.508,.514,162,189,.857,37,100,137,127,44,16,81,62,759,25.1
