Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,149,1,2013-10-30,GSW,,LAL,W 125-94,*,31:04,15,19,.789,5,7,.714,10,12,.833,.921,3,4,.750,1,2,3,1,0,0,1,3,38,30.1,30
2,150,2,2013-10-31,GSW,@,LAC,L 115-126,*,38:09,3,7,.429,1,2,.500,2,5,.400,.500,3,3,1.000,0,1,1,1,2,0,2,4,10,5.7,-13
3,151,3,2013-11-02,GSW,,SAC,W 98-87,*,40:14,10,17,.588,3,8,.375,7,9,.778,.676,4,4,1.000,1,6,7,2,1,0,1,3,27,21.8,19
4,152,4,2013-11-04,GSW,@,PHI,W 110-90,*,29:38,5,12,.417,4,8,.500,1,4,.250,.583,1,2,.500,1,2,3,2,2,0,1,3,15,10.7,38
5,153,5,2013-11-06,GSW,@,MIN,W 106-93,*,37:18,11,21,.524,6,9,.667,5,12,.417,.667,2,2,1.000,0,2,2,1,1,2,0,4,30,21.8,8
6,154,6,2013-11-08,GSW,@,SAS,L 74-76,*,39:27,5,16,.313,1,5,.200,4,11,.364,.344,0,0,,0,1,1,2,3,1,3,4,11,2.6,-1
7,155,7,2013-11-09,GSW,@,MEM,L 90-108,*,28:26,5,13,.385,2,8,.250,3,5,.600,.462,0,0,,0,1,1,2,0,1,0,3,12,6.1,-20
8,156,8,2013-11-12,GSW,,DET,W 113-95,*,26:54,6,9,.667,2,4,.500,4,5,.800,.778,0,0,,0,2,2,3,0,0,0,2,14,12.0,17
9,157,9,2013-11-14,GSW,,OKC,W 116-115,*,38:02,10,15,.667,6,9,.667,4,6,.667,.867,1,1,1.000,2,3,5,2,0,3,0,3,27,25.1,0
10,158,10,2013-11-16,GSW,,UTA,W 102-88,*,39:53,9,14,.643,5,8,.625,4,6,.667,.821,2,2,1.000,1,3,4,2,0,0,2,0,25,19.8,21
11,159,11,2013-11-18,GSW,@,UTA,W 98-87,*,41:20,6,17,.353,3,7,.429,3,10,.300,.441,2,4,.500,2,3,5,0,0,0,1,2,17,7.2,20
12,160,12,2013-11-20,GSW,,MEM,L 81-88 (OT),*,48:04,9,19,.474,2,7,.286,7,12,.583,.526,1,2,.500,1,0,1,0,0,0,3,2,21,7.8,1
13,161,13,2013-11-22,GSW,@,LAL,L 95-102,*,41:13,6,20,.300,4,10,.400,2,10,.200,.400,3,5,.600,0,3,3,3,2,0,2,2,19,8.8,-6
14,162,14,2013-11-23,GSW,,POR,L 101-113,*,27:07,10,13,.769,2,4,.500,8,9,.889,.846,8,8,1.000,0,1,1,1,1,0,4,6,30,20.5,-4
15,163,15,2013-11-26,GSW,@,NOP,W 102-101,*,42:55,8,18,.444,3,6,.500,5,12,.417,.528,3,6,.500,2,3,5,8,1,1,4,1,22,16.6,-2
16,164,16,2013-11-27,GSW,@,DAL,L 99-103,*,37:52,5,16,.313,3,9,.333,2,7,.286,.406,7,8,.875,1,9,10,2,0,0,4,2,20,10.4,5
17,165,17,2013-11-29,GSW,@,OKC,L 112-113 (OT),*,48:20,5,19,.263,2,9,.222,3,10,.300,.316,4,7,.571,2,4,6,4,2,1,1,5,16,8.6,10
18,166,18,2013-12-01,GSW,@,SAC,W 115-113,*,40:52,10,19,.526,8,11,.727,2,8,.250,.737,0,0,,0,2,2,1,3,0,4,4,28,17.4,1
19,167,19,2013-12-03,GSW,,TOR,W 112-103,*,41:08,8,20,.400,6,12,.500,2,8,.250,.550,0,0,,1,2,3,7,1,0,2,4,22,14.8,5
20,168,20,2013-12-06,GSW,@,HOU,L 83-105,*,34:59,2,10,.200,0,4,.000,2,6,.333,.200,1,1,1.000,0,3,3,1,1,0,3,4,5,-3.2,-16
21,169,21,2013-12-07,GSW,@,MEM,W 108-82,*,37:52,12,19,.632,3,5,.600,9,14,.643,.711,3,3,1.000,0,3,3,5,2,0,2,2,30,25.1,20
22,170,22,2013-12-09,GSW,@,CHA,L 111-115,*,46:02,9,19,.474,4,12,.333,5,7,.714,.579,0,0,,1,1,2,5,0,1,2,5,22,13.5,0
23,171,23,2013-12-11,GSW,,DAL,W 95-93,*,35:08,3,14,.214,3,9,.333,0,5,.000,.321,2,2,1.000,0,3,3,1,0,0,4,2,11,-0.8,-2
24,172,24,2013-12-13,GSW,,HOU,L 112-116,*,45:02,6,17,.353,1,7,.143,5,10,.500,.382,2,3,.667,0,5,5,5,1,2,3,4,15,7.9,-7
25,173,25,2013-12-15,GSW,@,PHO,L 102-106,*,39:23,7,17,.412,2,4,.500,5,13,.385,.471,3,3,1.000,0,1,1,3,0,0,2,4,19,8.7,-10
26,174,26,2013-12-17,GSW,,NOP,W 104-93,*,36:47,6,14,.429,1,4,.250,5,10,.500,.464,3,4,.750,0,1,1,6,0,0,2,4,16,9.1,17
27,175,27,2013-12-19,GSW,,SAS,L 102-104,*,40:43,6,18,.333,1,7,.143,5,11,.455,.361,0,0,,2,0,2,2,2,1,5,4,13,1.7,-5
28,176,28,2013-12-21,GSW,,LAL,W 102-83,*,32:46,5,15,.333,4,8,.500,1,7,.143,.467,3,4,.750,0,3,3,2,2,0,2,3,17,9.2,19
29,177,29,2013-12-23,GSW,@,DEN,W 89-81,*,38:00,6,16,.375,1,4,.250,5,12,.417,.406,0,0,,1,5,6,2,2,0,3,3,13,5.6,11
30,178,30,2013-12-25,GSW,,LAC,W 105-103,*,41:49,10,22,.455,3,10,.300,7,12,.583,.523,0,2,.000,0,5,5,4,2,2,1,4,23,15.9,8
31,179,31,2013-12-27,GSW,,PHO,W 115-86,*,24:24,9,11,.818,2,3,.667,7,8,.875,.909,1,1,1.000,1,3,4,2,1,0,0,5,21,18.9,22
32,180,32,2013-12-29,GSW,@,CLE,W 108-104 (OT),*,47:38,5,16,.313,3,12,.250,2,4,.500,.406,3,4,.750,1,3,4,1,2,1,2,4,16,7.8,2
33,181,33,2013-12-31,GSW,@,ORL,W 94-81,*,30:17,7,12,.583,1,5,.200,6,7,.857,.625,0,0,,0,2,2,2,1,2,4,3,15,8.6,16
34,182,34,2014-01-02,GSW,@,MIA,W 123-114,*,37:41,6,15,.400,4,9,.444,2,6,.333,.533,0,0,,0,2,2,4,1,0,4,2,16,7.5,12
35,183,35,2014-01-03,GSW,@,ATL,W 101-100,*,39:37,8,17,.471,3,7,.429,5,10,.500,.559,2,2,1.000,1,4,5,6,0,1,3,1,21,15.7,12
36,184,36,2014-01-05,GSW,@,WAS,W 112-96,*,35:44,9,14,.643,6,9,.667,3,5,.600,.857,2,2,1.000,0,3,3,0,2,1,2,0,26,21.4,33
37,185,37,2014-01-07,GSW,@,MIL,W 101-80,*,26:20,6,18,.333,1,6,.167,5,12,.417,.361,2,4,.500,1,1,2,0,0,0,1,4,15,2.4,17
38,186,38,2014-01-08,GSW,@,BRK,L 98-102,*,43:29,5,15,.333,4,10,.400,1,5,.200,.467,0,0,,0,5,5,3,0,0,2,3,14,5.9,3
39,187,39,2014-01-10,GSW,,BOS,W 99-97,*,40:59,5,17,.294,3,7,.429,2,10,.200,.382,4,4,1.000,1,0,1,1,0,0,1,2,17,6.7,8
40,188,40,2014-01-15,GSW,,DEN,L 116-123,*,37:49,9,19,.474,1,5,.200,8,14,.571,.500,2,2,1.000,1,0,1,3,1,0,2,3,21,11.9,-8
41,189,41,2014-01-17,GSW,@,OKC,L 121-127,*,41:10,9,17,.529,6,9,.667,3,8,.375,.706,2,2,1.000,0,1,1,3,1,1,1,5,26,18.8,-6
