Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,82,1,2018-04-14,GSW,,SAS,W 113-92,*,35:19,11,13,.846,5,6,.833,6,7,.857,1.038,0,0,,0,2,2,2,1,0,1,3,27,23.1,22
2,83,2,2018-04-16,GSW,,SAS,W 116-101,*,39:28,12,20,.600,5,8,.625,7,12,.583,.725,2,2,1.000,0,0,0,5,0,0,1,1,31,23.9,16
3,84,3,2018-04-19,GSW,@,SAS,W 110-97,*,37:39,8,16,.500,3,6,.500,5,10,.500,.594,0,0,,0,3,3,2,0,0,1,2,19,11.5,12
4,85,4,2018-04-22,GSW,@,SAS,L 90-103,*,42:24,4,16,.250,2,6,.333,2,10,.200,.313,2,2,1.000,2,3,5,1,1,0,3,2,12,2.6,-18
5,86,5,2018-04-24,GSW,,SAS,W 99-91,*,41:29,11,22,.500,1,5,.200,10,17,.588,.523,1,1,1.000,1,4,5,4,0,1,2,2,24,15.6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,87,6,2018-04-28,GSW,,NOP,W 123-101,*,35:08,10,22,.455,4,9,.444,6,13,.462,.545,3,3,1.000,0,6,6,2,0,2,2,2,27,17.4,21
7,88,7,2018-05-01,GSW,,NOP,W 121-116,*,37:47,4,20,.200,2,11,.182,2,9,.222,.250,0,0,,2,4,6,3,0,0,2,3,10,-0.9,-8
8,89,8,2018-05-04,GSW,@,NOP,L 100-119,*,36:22,9,22,.409,3,9,.333,6,13,.462,.477,5,5,1.000,0,7,7,1,0,0,1,3,26,14.8,-24
9,90,9,2018-05-06,GSW,@,NOP,W 118-92,*,36:31,5,13,.385,1,6,.167,4,7,.571,.423,2,2,1.000,0,7,7,0,0,0,1,2,13,6.2,23
10,91,10,2018-05-08,GSW,,NOP,W 113-104,*,37:41,10,22,.455,2,8,.250,8,14,.571,.500,1,1,1.000,1,5,6,3,1,0,0,1,23,16.5,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,92,11,2018-05-14,GSW,@,HOU,W 119-106,*,42:16,9,18,.500,6,15,.400,3,3,1.000,.667,4,4,1.000,1,3,4,2,2,0,1,2,28,22.2,13
12,93,12,2018-05-16,GSW,@,HOU,L 105-127,*,36:42,3,11,.273,2,4,.500,1,7,.143,.364,0,0,,0,2,2,2,2,0,0,1,8,5.1,-24
13,94,13,2018-05-20,GSW,,HOU,W 126-85,*,35:29,6,14,.429,1,3,.333,5,11,.455,.464,0,0,,0,1,1,3,1,2,3,1,13,7.0,21
14,95,14,2018-05-22,GSW,,HOU,L 92-95,*,39:13,4,13,.308,2,5,.400,2,8,.250,.385,0,0,,2,2,4,0,0,0,1,3,10,2.3,7
15,96,15,2018-05-24,GSW,@,HOU,L 94-98,*,42:30,8,14,.571,4,7,.571,4,7,.571,.714,3,4,.750,0,4,4,1,0,0,4,3,23,12.7,-9
16,97,16,2018-05-26,GSW,,HOU,W 115-86,*,38:58,13,23,.565,9,14,.643,4,9,.444,.761,0,0,,2,4,6,2,4,0,1,1,35,30.7,32
17,98,17,2018-05-28,GSW,@,HOU,W 101-92,*,30:42,8,13,.615,3,7,.429,5,6,.833,.731,0,2,.000,0,3,3,1,2,0,2,4,19,12.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,99,18,2018-05-31,GSW,,CLE,W 124-114 (OT),*,45:25,8,16,.500,5,10,.500,3,6,.500,.656,3,3,1.000,0,3,3,1,0,0,1,3,24,15.4,9
19,100,19,2018-06-03,GSW,,CLE,W 122-103,*,33:42,8,13,.615,3,8,.375,5,5,1.000,.731,1,2,.500,0,2,2,1,1,0,2,3,20,12.8,11
20,101,20,2018-06-06,GSW,@,CLE,W 110-102,*,40:35,4,11,.364,2,5,.400,2,6,.333,.455,0,0,,0,4,4,2,1,1,0,3,10,7.0,14
21,102,21,2018-06-08,GSW,@,CLE,W 108-85,*,28:29,4,10,.400,2,5,.400,2,5,.400,.500,0,0,,0,6,6,0,0,0,2,3,10,3.2,19
,,,,,,,16-5,21,793,159,342,.465,67,157,.427,92,185,.497,.563,27,31,.871,11,75,86,38,16,6,31,48,412,12.4,147
